iter	Passed	Remaining
475	624	686
476	624	685
477	625	683
478	626	681
479	627	679
480	628	677
481	628	675
482	629	673
483	630	672
484	631	670
485	632	668
486	633	666
487	633	665
488	634	663
489	635	661
490	636	659
491	637	657
492	637	655
493	638	654
494	639	652
495	640	650
496	641	648
497	641	647
498	642	645
499	643	643
500	644	641
501	645	639
502	646	638
503	646	636
504	647	634
505	648	633
506	649	631
507	649	629
508	651	628
509	651	626
510	652	624
511	653	623
512	654	621
513	655	619
514	656	617
515	656	616
516	658	614
517	658	613
518	659	611
519	660	609
520	661	607
521	661	606
522	662	604
523	663	602
524	664	601
525	665	599
526	665	597
527	666	595
528	667	594
529	668	592
530	668	590
531	669	589
532	670	587
533	671	586
534	672	584
535	673	582
536	674	581
537	675	579
538	676	578
539	676	576
540	677	574
541	678	573
542	679	571
543	680	570
544	680	568
545	681	566
546	682	565
547	683	563
548	684	561
549	684	560
550	685	558
551	686	557
552	687	555
553	688	553
554	688	552
555	690	551
556	691	549
557	691	548
558	692	546
559	693	545
560	694	543
561	695	541
562	696	540
563	696	538
564	697	537
565	698	535
566	699	534
567	700	532
568	701	531
569	701	529
570	703	528
571	704	526
572	705	525
573	706	524
574	706	522
575	707	520
576	708	519
577	709	517
578	710	516
579	711	514
580	711	513
581	712	511
582	713	510
583	714	508
584	715	507
585	716	505
586	717	504
587	717	503
588	718	501
589	720	500
590	721	499
591	722	497
592	723	496
593	724	494
594	725	493
595	726	492
596	727	491
597	729	490
598	729	488
599	730	487
600	731	485
601	732	484
602	733	482
603	734	481
604	735	480
605	736	478
606	737	477
607	738	476
608	739	474
609	740	473
610	741	471
611	742	470
612	742	468
613	743	467
614	744	466
615	746	465
616	747	463
617	748	462
618	749	461
619	751	460
620	752	459
621	753	457
622	754	456
623	755	455
624	755	453
625	756	452
626	757	450
627	758	449
628	759	448
629	760	446
630	761	445
631	762	443
632	762	442
633	763	440
634	764	439
635	765	438
636	766	437
637	767	435
638	768	434
639	769	432
640	770	431
641	770	429
642	771	428
643	772	427
644	773	425
645	774	424
646	775	423
647	776	421
648	777	420
649	778	419
650	779	417
651	780	416
652	781	415
653	782	413
654	783	412
655	784	411
656	785	410
657	786	408
658	788	408
659	789	406
660	790	405
661	791	404
662	792	402
663	793	401
664	794	400
665	795	398
666	796	397
667	797	396
668	798	395
669	799	393
670	800	392
671	801	391
672	803	390
673	803	388
674	804	387
675	805	385
676	806	384
677	806	383
678	807	381
679	808	380
680	810	379
681	810	378
682	812	376
683	813	375
684	814	374
685	814	372
686	815	371
687	816	370
688	817	368
689	817	367
690	818	366
691	819	364
692	820	363
693	821	362
694	821	360
695	822	359
696	823	357
697	824	356
698	825	355
699	826	354
700	827	352
701	827	351
702	828	350
703	829	348
704	830	347
705	830	345
706	831	344
707	832	343
708	833	342
709	834	340
710	835	339
711	836	338
712	837	337
713	838	335
714	839	334
715	840	333
716	840	331
717	841	330
718	842	329
719	843	328
720	844	326
721	845	325
722	846	324
723	847	323
724	848	321
725	849	320
726	849	319
727	850	317
728	851	316
729	852	315
730	853	313
731	853	312
732	854	311
733	855	310
734	856	308
735	857	307
736	857	306
737	858	304
738	859	303
739	860	302
740	861	300
741	861	299
742	862	298
743	863	297
744	864	295
745	865	294
746	865	293
747	866	291
748	867	290
749	868	289
750	868	288
751	869	286
752	870	285
753	871	284
754	872	283
755	872	281
756	873	280
757	874	279
758	875	277
759	876	276
760	877	275
761	877	274
762	878	272
763	879	271
764	880	270
765	880	269
766	881	267
767	882	266
768	883	265
769	884	264
770	884	262
771	885	261
772	886	260
773	887	259
774	888	257
775	888	256
776	889	255
777	890	254
778	891	253
779	892	251
780	893	250
781	894	249
782	895	248
783	896	246
784	896	245
785	897	244
786	899	243
787	900	242
788	900	240
789	901	239
790	902	238
791	903	237
792	904	236
793	905	234
794	906	233
795	907	232
796	908	231
797	908	230
798	909	228
799	910	227
800	911	226
801	912	225
802	912	223
803	913	222
804	914	221
805	915	220
806	916	219
807	916	217
808	917	216
809	918	215
810	919	214
811	920	213
812	921	211
813	922	210
814	922	209
815	923	208
816	924	207
817	925	205
818	926	204
819	927	203
820	928	202
821	928	201
822	929	199
823	930	198
824	931	197
825	932	196
826	933	195
827	934	194
828	935	192
829	936	191
830	937	190
831	938	189
832	939	188
833	940	187
834	941	186
835	942	184
836	943	183
837	943	182
838	944	181
839	945	180
840	946	178
841	947	177
842	948	176
843	948	175
844	949	174
845	950	173
846	951	171
847	952	170
848	953	169
849	953	168
850	954	167
851	955	165
852	956	164
853	957	163
854	957	162
855	958	161
856	959	160
857	960	158
858	961	157
859	962	156
860	963	155
861	963	154
862	964	153
863	965	151
864	966	150
865	967	149
866	967	148
867	968	147
868	969	146
869	970	144
870	971	143
871	972	142
872	973	141
873	973	140
874	974	139
875	975	138
876	976	136
877	977	135
878	978	134
879	979	133
880	980	132
881	981	131
882	982	130
883	983	129
884	984	127
885	985	126
886	986	125
887	987	124
888	988	123
889	988	122
890	989	121
891	990	119
892	991	118
893	992	117
894	993	116
895	993	115
896	994	114
897	995	113
898	996	111
899	996	110
900	997	109
901	998	108
902	999	107
903	1000	106
904	1000	105
905	1001	103
906	1002	102
907	1003	101
908	1003	100
909	1004	99
910	1005	98
911	1006	97
912	1007	96
913	1008	94
914	1009	93
915	1009	92
916	1010	91
917	1011	90
918	1012	89
919	1013	88
920	1013	86
921	1014	85
922	1015	84
923	1016	83
924	1017	82
925	1017	81
926	1018	80
927	1019	79
928	1020	77
929	1020	76
930	1021	75
931	1022	74
932	1023	73
933	1023	72
934	1024	71
935	1025	70
936	1026	68
937	1026	67
938	1027	66
939	1028	65
940	1029	64
941	1029	63
942	1030	62
943	1031	61
944	1032	60
945	1032	58
946	1033	57
947	1034	56
948	1035	55
949	1036	54
950	1037	53
951	1037	52
952	1038	51
953	1039	50
954	1040	49
955	1041	47
956	1041	46
957	1042	45
958	1043	44
959	1044	43
960	1045	42
961	1045	41
962	1046	40
963	1047	39
964	1048	38
965	1049	36
966	1050	35
967	1050	34
968	1051	33
969	1052	32
970	1053	31
971	1054	30
972	1054	29
973	1055	28
974	1056	27
975	1057	26
976	1058	24
977	1058	23
978	1059	22
979	1060	21
980	1061	20
981	1062	19
982	1062	18
983	1063	17
984	1064	16
985	1065	15
986	1066	14
987	1066	12
988	1067	11
989	1068	10
990	1069	9
991	1070	8
992	1071	7
993	1071	6
994	1072	5
995	1073	4
996	1074	3
997	1075	2
998	1075	1
999	1076	0
